Model,Train RMSE,Val RMSE,Train MAE,Val MAE,Val R²
Random Forest,20.023847081969457,41.36733220309258,13.67370963830018,29.4819696985656,0.6254469445653826
XGBoost,16.6129032955773,42.114324558371024,11.616265296936035,30.03942108154297,0.6117978096008301
LightGBM,38.40680286545468,41.17597285723796,27.394885646468218,29.658790114081867,0.6289041871052642
