Model,RMSE,Improvement
XGBoost (Original),42.114324558371024,0.0
XGBoost (Tuned),42.795530590182516,-1.617516222698362
LightGBM (Original),41.17597285723796,0.0
LightGBM (Tuned),43.10692068727991,-4.689501415635714
